92 314 48695.00 I -0.034524 0.000228  0.126042 0.000114  I-0.3033697 0.0000221  2.7858 0.0179  I    -9.542     .533    -4.570     .158  -.035400   .125700  -.3035600    -8.900    -4.500  
92 315 48696.00 I -0.037725 0.000252  0.127731 0.000135  I-0.3062892 0.0000260  3.0595 0.0164  I    -9.272     .589    -4.835     .100  -.038700   .127300  -.3064700    -9.000    -4.600  
92 316 48697.00 I -0.040964 0.000268  0.129554 0.000200  I-0.3094879 0.0000242  3.3309 0.0169  I    -8.884     .582    -4.740     .101  -.042000   .128900  -.3096600    -9.000    -4.600  
92 317 48698.00 I -0.044224 0.000193  0.131495 0.000220  I-0.3129254 0.0000217  3.5254 0.0134  I    -8.774     .546    -4.405     .298  -.045300   .130600  -.3130800    -9.000    -4.700  
92 318 48699.00 I -0.047499 0.000155  0.133517 0.000206  I-0.3164952 0.0000113  3.5892 0.0122  I    -9.030     .590    -4.136     .298  -.048500   .132400  -.3166600    -9.000    -4.800  
92 319 48700.00 I -0.050792 0.000150  0.135523 0.000207  I-0.3200557 0.0000112  3.5085 0.0084  I    -9.299     .554    -4.072     .298  -.051600   .134300  -.3202100    -8.900    -4.800  
92 320 48701.00 I -0.054094 0.000189  0.137431 0.000215  I-0.3234755 0.0000125  3.3178 0.0078  I    -9.392     .490    -4.157     .298  -.054600   .136300  -.3236400    -8.900    -4.900  
92 321 48702.00 I -0.057344 0.000189  0.139267 0.000226  I-0.3266717 0.0000110  3.0685 0.0088  I    -9.326     .404    -4.250     .115  -.057600   .138300  -.3268300    -8.800    -5.000  
92 322 48703.00 I -0.060440 0.000211  0.141081 0.000229  I-0.3296130 0.0000123  2.8209 0.0077  I    -9.135     .388    -4.393     .123  -.060400   .140300  -.3297700    -8.600    -5.000  
92 323 48704.00 I -0.063313 0.000174  0.142927 0.000157  I-0.3323322 0.0000109  2.6295 0.0086  I    -8.781     .388    -4.595     .123  -.063100   .142400  -.3324800    -8.500    -5.100  
92 324 48705.00 I -0.065911 0.000265  0.144867 0.000164  I-0.3348972 0.0000119  2.5136 0.0096  I    -8.367     .198    -4.743     .141  -.065700   .144600  -.3350400    -8.400    -5.100  
92 325 48706.00 I -0.068210 0.000310  0.146946 0.000196  I-0.3373814 0.0000158  2.4638 0.0104  I    -8.153     .301    -4.766     .126  -.068200   .146800  -.3375000    -8.400    -5.100  
92 326 48707.00 I -0.070308 0.000310  0.149161 0.000196  I-0.3398416 0.0000171  2.4643 0.0146  I    -8.233     .301    -4.741     .126  -.070600   .149000  -.3399300    -8.300    -5.100  
92 327 48708.00 I -0.072333 0.000373  0.151495 0.000240  I-0.3423232 0.0000245  2.5044 0.0136  I    -8.380     .412    -4.791     .108  -.072800   .151200  -.3424000    -8.300    -5.100  
92 328 48709.00 I -0.074385 0.000401  0.153921 0.000305  I-0.3448638 0.0000212  2.5847 0.0169  I    -8.381     .345    -4.931     .298  -.074900   .153400  -.3449700    -8.400    -5.100  
92 329 48710.00 I -0.076461 0.000408  0.156374 0.000302  I-0.3475046 0.0000233  2.7012 0.0157  I    -8.272     .
